id;lang;term_text;category;genus;needs_vowel_article;unit_id;ref;tags;has_audio
585;fr;barrière;noun;f;;;;;true
586;fr;travail;noun;m;;;;;true
587;de;Absperrung;noun;f;;;;;true
588;de;abschüssig;adjective;;;;;;true
589;fr;en pente;expression;;;;;;true
590;fr;terrain;noun;m;;;;;true
591;de;Gelände;noun;n;;;;;true
592;fr;piétonniser {qc.};verb;;;;;;true
593;de;{etw.} zur Fußgängerzone umwandeln;verb;;;;;;true
594;fr;végétaliser {qc.};verb;;;;;;true
595;de;{etw.} begrünen;verb;;;;;;true
596;fr;embellir {qc.};verb;;;;;;true
597;de;{etw.} verschönern;verb;;;;;;true
598;de;Innenstadt;noun;f;;;;;true
599;fr;crier {après qn.};verb;;;;;;true
600;de;{jmdn.} anschreien;verb;;;;;;true
601;fr;aller;verb;;;;;;true
